index,id,gender,age,married,num_depen,lat,long,pop,score,num_ref,mult_line,offer,phon_serv,int_serv,int_type,onl_sec,onl_back,dev_prot,premium,str_tv,str_movie,str_music,contract,paperless,payment,tenure_month,month_charge,unlimite,avg_gb,avg_long_dist,t_charge,t_refund,t_extra,t_long_dist,t_revenue,churn,is_test,is_train
1,1746-TGTWV,Male,78,No,0,34.02381,-118.156582,68701,,0,No,None,No,Yes,DSL,No,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,39.65,No,8,0,39.65,0,20,0,59.65,Competitor,FALSE,TRUE
2,8499-BRXTD,Female,74,Yes,1,,,,3,1,Yes,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,8,80.65,Yes,17,48.85,633.3,0,0,390.8,1024.1,Competitor,FALSE,TRUE
3,2041-JIJCI,Male,71,No,3,34.108833,-118.229715,47534,,0,Yes,None,Yes,Yes,,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,10,,,,,,,,,,Competitor,FALSE,TRUE
4,5832-EXGTT,Female,78,Yes,1,33.936291,-118.332639,27778,2,1,No,Offer C,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,25,98.5,Yes,12,19.76,2514.5,13.43,0,494,2995.07,Dissatisfaction,FALSE,TRUE
5,8350-NYMVI,Male,80,Yes,1,33.972119,-118.020188,26265,2,1,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,37,76.5,Yes,,6.33,2868.15,0,0,234.21,3102.36,Price,FALSE,TRUE
6,7284-BUYEC,Female,72,No,2,,,,1,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,27,78.05,No,18,3.33,2135.5,0,10,89.91,2235.41,Competitor,FALSE,TRUE
7,3458-IDMFK,Female,76,Yes,0,33.79499,-118.065591,21343,2,1,No,Offer E,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,70.45,Yes,30,15.28,70.45,0,0,15.28,85.73,Other,FALSE,TRUE
8,3709-OIJEA,Male,66,Yes,0,34.168686,-118.057505,10558,,6,No,Offer B,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,58,45.3,Yes,24,0,2651.2,40.95,0,0,2610.25,,FALSE,TRUE
9,5066-GFJMM,Female,70,No,2,34.139402,-118.128658,23742,2,0,No,None,Yes,Yes,,No,No,No,No,No,Yes,No,Two Year,No,Mailed Check,3,,,,,,,,,,,TRUE,FALSE
10,6648-INWPS,Female,78,No,1,34.207295,-118.400022,57146,1,0,No,None,No,Yes,,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,0,,,,,,,,,,Dissatisfaction,FALSE,TRUE
11,3196-NVXLZ,Male,65,No,0,34.097345,-117.906736,33817,1,0,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,15,71.62,,29,29.11,1074.3,0,0,436.65,1510.95,Competitor,FALSE,TRUE
12,5939-SXWHM,Male,77,Yes,0,,,,,1,No,Offer E,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,1,40.2,Yes,12,0,40.2,0,0,0,40.2,Dissatisfaction,FALSE,TRUE
13,1730-VFMWO,Male,68,No,0,33.976753,-117.897367,46342,1,0,Yes,Offer D,Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,13,104.9461538,No,11,32.68,1364.3,0,10,424.84,1799.14,,TRUE,FALSE
14,7037-MTYVW,Female,68,No,0,,,,,0,No,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,16,94.45,Yes,9,9.43,1511.2,0,0,150.88,1662.08,,TRUE,FALSE
15,6463-HHXJR,Male,66,No,0,32.827184,-116.703729,16486,2,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,8,74.5,Yes,7,1.78,606.55,0,0,14.24,620.79,,FALSE,TRUE
16,4981-FLTMF,Male,72,Yes,0,32.85723,-117.209774,34902,2,2,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,32,74.9,Yes,10,47.34,2303.35,0,0,1514.88,3818.23,,TRUE,FALSE
17,3522-CDKHF,Male,77,Yes,0,32.85723,-117.209774,34902,2,1,No,Offer C,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,24,93.15,Yes,12,16.1,2231.05,0,0,386.4,2617.45,Competitor,FALSE,TRUE
18,9351-LZYGF,Female,70,No,0,32.85723,-117.209774,34902,1,0,No,None,Yes,Yes,,Yes,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,6,,,,,,,,,,Competitor,FALSE,TRUE
19,8999-XXGNS,Female,74,No,0,32.85723,-117.209774,34902,,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,70.35,,,13.17,139.05,0,0,26.34,165.39,Other,FALSE,TRUE
20,8443-WVPSS,Female,77,No,0,32.85723,-117.209774,34902,1,0,No,None,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,21,41.9,Yes,8,0,840.1,0,0,0,840.1,,TRUE,FALSE
21,9540-JYROE,Male,72,Yes,0,32.85723,-117.209774,34902,1,0,No,None,Yes,Yes,,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,69,,,,,,,,,,Competitor,FALSE,TRUE
22,4615-PIVVU,Male,79,Yes,0,,,,1,1,No,None,Yes,No,None,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,11,19.95,No,0,29.54,214.75,0,0,324.94,539.69,,FALSE,TRUE
