gender,age,married,num_depen,lat,long,pop,score,num_ref,mult_line,offer,phon_serv,int_serv,int_type,onl_sec,onl_back,dev_prot,premium,str_tv,str_movie,str_music,contract,paperless,payment,tenure_month,month_charge,unlimite,avg_gb,avg_long_dist,t_charge,t_refund,t_extra,t_long_dist,t_revenue,churn
Male,78,No,0,34.02381,-118.156582,68701,3,0,No,None,No,Yes,DSL,No,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,39.65,No,8,0,39.65,0,20,0,59.65,1
Female,74,Yes,1,34.108833,-118.229715,47534,3,1,Yes,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,8,80.65,Yes,17,48.85,633.3,0,0,390.8,1024.1,1
Male,71,No,3,34.108833,-118.229715,47534,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,10,98.5,Yes,12,19.76,2514.5,13.43,0,494,2995.07,1
Female,78,Yes,1,33.936291,-118.332639,27778,2,1,No,Offer C,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,25,98.5,Yes,12,19.76,2514.5,13.43,0,494,2995.07,2
Male,80,Yes,1,33.972119,-118.020188,26265,2,1,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,37,76.5,Yes,18,6.33,2868.15,0,0,234.21,3102.36,4
Female,72,No,2,33.79499,-118.065591,21343,1,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,27,78.05,No,18,3.33,2135.5,0,10,89.91,2235.41,1
Female,76,Yes,0,33.79499,-118.065591,21343,2,1,No,Offer E,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,70.45,Yes,30,15.28,70.45,0,0,15.28,85.73,5
Female,78,No,1,34.207295,-118.400022,57146,1,0,No,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,0,71.62,Yes,29,29.11,1074.3,0,0,436.65,1510.95,2
Male,65,No,0,34.097345,-117.906736,33817,1,0,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,15,71.62,Yes,29,29.11,1074.3,0,0,436.65,1510.95,1
Male,77,Yes,0,33.976753,-117.897367,46342,1,1,No,Offer E,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,1,40.2,Yes,12,0,40.2,0,0,0,40.2,2
Male,77,Yes,0,32.85723,-117.209774,34902,2,1,No,Offer C,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,24,93.15,Yes,12,16.1,2231.05,0,0,386.4,2617.45,1
Female,70,No,0,32.85723,-117.209774,34902,1,0,No,None,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,6,70.35,Yes,8,13.17,139.05,0,0,26.34,165.39,1
Female,74,No,0,32.85723,-117.209774,34902,1,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,70.35,Yes,8,13.17,139.05,0,0,26.34,165.39,5
Male,72,Yes,0,32.85723,-117.209774,34902,1,0,No,None,Yes,Yes,None,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,69,19.95,No,0,29.54,214.75,0,0,324.94,539.69,1
Female,80,No,0,33.53604,-116.119222,17018,2,0,Yes,None,Yes,No,DSL,No,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,39,28.45,No,26,0,131.05,0,0,0,131.05,2
Female,77,No,0,33.644585,-116.871544,39264,2,0,No,Offer E,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,5,28.45,Yes,26,0,131.05,0,0,0,131.05,2
Female,77,No,0,33.644585,-116.871544,39264,1,0,No,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Two Year,No,Bank Withdrawal,20,94.1,Yes,12,48.73,1782.4,0,80,974.6,2837,1
Female,80,Yes,0,33.828289,-117.201666,26357,1,2,No,None,Yes,Yes,Cable,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,15,128.6233333,Yes,25,45.81,1929.35,0,0,189.54,2118.89,3
