Customer ID,Count.x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count.y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
1746-TGTWV,1,Male,78,No,Yes,No,No,0,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,21,68701,NA,1,Q3,No,0,1,None,No,0,No,Yes,DSL,8,No,No,NA,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,NA,0,20,0,59.65,Competitor
8499-BRXTD,1,Female,74,No,Yes,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Q3,Yes,1,8,Offer E,NA,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,80.65,633.3,0,0,390.8,1024.1,Competitor
2041-JIJCI,1,Male,71,No,Yes,No,Yes,3,1,United States,California,Los Angeles,NA,"34.108833, -118.229715",34.108833,-118.229715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
5832-EXGTT,1,Female,78,No,Yes,Yes,Yes,1,NA,NA,California,Inglewood,90303,NA,33.936291,-118.332639,100,27778,2,1,Q3,Yes,1,25,Offer C,NA,19.76,No,Yes,NA,12,No,Yes,Yes,NA,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,NA,0,494.00000000000006,2995.07,Dissatisfaction
8350-NYMVI,NA,NA,80,No,Yes,NA,Yes,1,1,United States,NA,Whittier,90602,"33.972119, -118.020188",NA,-118.020188,114,26265,2,1,Q3,Yes,1,37,Offer C,Yes,6.33,NA,Yes,Fiber Optic,NA,No,NA,NA,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,Price
7284-BUYEC,1,Female,72,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,NA,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,NA,10,89.91,2235.41,Competitor
3458-IDMFK,1,Female,76,No,Yes,Yes,NA,NA,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",NA,-118.065591,140,21343,2,1,Q3,Yes,1,1,Offer E,Yes,NA,NA,Yes,Fiber Optic,30,NA,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Other
3709-OIJEA,NA,Male,66,No,Yes,Yes,NA,0,1,United States,California,Sierra Madre,NA,"34.168686, -118.057505",34.168686,-118.057505,NA,NA,NA,1,Q3,Yes,6,58,Offer B,No,0,NA,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,NA
5066-GFJMM,1,NA,70,No,NA,No,Yes,2,1,United States,California,Pasadena,91106,"34.139402, -118.128658",NA,-118.128658,177,23742,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6648-INWPS,1,Female,78,No,Yes,NA,Yes,1,NA,United States,NA,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,239,57146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
