Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Churn Category
0650-BWOZN,1,Male,37,No,No,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Competitor
0562-FGDCR,1,NA,54,No,No,No,No,0,NA,California,Rosamond,93560,"34.903052, -118.411251",34.903052,-118.411251,784,14931,1,Competitor
6688-UZPWD,1,Male,NA,Yes,No,NA,Yes,NA,United States,NA,Huntington Beach,92649,"33.721917, -118.043237",33.721917,-118.043237,552,32304,NA,No Churn
2905-KFQUV,1,Male,23,Yes,No,No,No,0,United States,California,San Jose,95129,"37.305622, -122.000887",NA,-122.000887,1135,37570,3,Competitor
9720-JJJOR,1,Female,41,No,NA,Yes,No,0,United States,California,Calpine,96124,"39.672813, -120.456699",39.672813,-120.456699,1653,322,NA,No Churn
5236-PERKL,1,NA,22,Yes,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
0394-YONDK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0396-HUJBP,1,Female,37,NA,No,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8200-LGKSR,1,Male,33,No,No,No,No,0,United States,California,Los Angeles,90047,NA,33.958149,-118.308441,45,47107,3,No Churn
3279-DYZQM,1,Female,32,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
3996-ZNWYK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0684-AOSIH,1,Female,21,Yes,NA,Yes,Yes,2,United States,California,NA,94305,"37.424342, -122.165641",37.424342,-122.165641,943,13386,NA,NA
9500-LTVBP,1,Female,46,NA,No,Yes,No,NA,United States,California,Pacifica,NA,"37.573633, -122.455167",37.573633,-122.455167,NA,NA,3,No Churn
5229-PRWKT,1,Female,49,No,No,Yes,No,0,United States,California,Montara,NA,"37.540582, -122.509594",37.540582,NA,NA,NA,5,No Churn
1679-JRFBR,1,Male,40,No,No,Yes,No,0,United States,California,Grizzly Flats,95636,NA,38.636102,-120.522149,1393,659,3,NA
1764-VUUMT,1,Female,NA,NA,No,No,Yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Dissatisfaction
7531-GQHME,1,Female,47,No,No,Yes,Yes,3,United States,California,Palmdale,93551,"34.613476, -118.256358",34.613476,-118.256358,779,34045,4,No Churn
4377-VDHYI,1,Male,50,No,No,Yes,Yes,3,United States,California,Fremont,94538,"37.505768, -121.962472",37.505768,-121.962472,973,56126,4,No Churn
5533-NHFRF,1,Female,NA,NA,No,No,No,0,United States,California,Antioch,94509,"37.980057, -121.801599",37.980057,NA,954,90891,NA,NA
7516-GMHUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5197-PYEPU,NA,Female,64,No,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Competitor
6743-HHQPF,1,Male,NA,NA,No,Yes,No,0,United States,California,Pilot Hill,NA,NA,38.803731,-121.043799,NA,NA,3,NA
2120-SMPEX,NA,Female,39,No,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
2898-LSJGD,1,Male,52,No,No,Yes,No,0,United States,California,Pasadena,91104,"34.165383, -118.123752",34.165383,-118.123752,175,38460,5,NA
0496-AHOOK,1,Male,80,No,Yes,Yes,No,0,NA,California,San Lucas,93954,"36.125529, -120.864443",36.125529,-120.864443,878,521,NA,Competitor
6599-RCLCJ,1,Female,27,Yes,No,NA,NA,2,United States,California,Elmira,95625,"38.349195, -121.902943",38.349195,-121.902943,1382,171,3,NA
6693-DJWTY,1,Male,65,No,Yes,NA,No,0,United States,NA,Daly City,94015,"37.680844, -122.48131",37.680844,-122.48131,886,63337,NA,NA
1661-CZBAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2805-AUFQN,NA,NA,50,No,No,No,No,0,United States,California,NA,95630,"38.672638, -121.147403",38.672638,-121.147403,1387,51855,5,No Churn
0841-NULXI,1,NA,28,Yes,No,Yes,Yes,NA,United States,NA,Colfax,95713,"39.084645, -120.894014",39.084645,-120.894014,1445,8525,3,No Churn
0263-FJTQO,NA,Female,63,NA,No,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
5302-BDJNT,1,Male,NA,No,No,Yes,Yes,3,United States,California,Meadow Vista,NA,NA,39.003358,-121.022539,NA,NA,4,NA
3280-NMUVX,1,Male,47,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,No Churn
1820-TQVEV,1,Female,74,No,Yes,Yes,No,0,United States,California,Los Olivos,93441,"34.70434, -120.02609",NA,-120.02609,733,1317,4,No Churn
1100-DDVRV,1,Female,57,No,No,No,No,0,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,NA,77,9960,3,No Churn
9779-DPNEJ,1,Female,65,No,Yes,No,NA,0,United States,California,NA,NA,"40.524535, -122.647172",40.524535,-122.647172,NA,NA,NA,No Churn
8878-RYUKI,1,Male,NA,No,NA,NA,Yes,2,United States,California,Walnut Creek,94596,"37.900662, -122.052782",37.900662,-122.052782,1016,40917,3,NA
8409-WQJUX,1,Male,73,No,Yes,Yes,No,0,NA,California,Placentia,92870,"33.881158, -117.854783",33.881158,-117.854783,607,48170,3,No Churn
7493-TPUWZ,NA,Male,77,No,Yes,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,No Churn
1135-HIORI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6230-BSUXY,1,NA,34,NA,No,No,No,NA,United States,California,Mission Viejo,92692,"33.60693, -117.644253",33.60693,-117.644253,571,46227,3,Competitor
9667-EQRXU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-MKGMH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270-XKUCC,1,Female,40,No,No,NA,Yes,NA,United States,California,Raymond,NA,"37.252057, -119.95783",37.252057,NA,NA,NA,3,NA
7207-RMRDB,1,Male,72,No,Yes,Yes,No,0,United States,NA,San Diego,92129,NA,NA,-117.134917,379,47224,3,Other
1934-SJVJK,1,Male,34,No,No,No,Yes,2,NA,California,Los Angeles,90008,NA,NA,-118.346766,8,30852,NA,No Churn
7077-XJMET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455-UGQVH,1,Male,79,No,NA,Yes,No,0,United States,NA,Burbank,91504,NA,NA,-118.317651,233,25882,5,NA
2452-KDRRH,1,Male,54,No,No,No,No,NA,United States,California,Gold Run,95717,"39.170376, -120.838404",39.170376,NA,1448,407,NA,No Churn
