Customer ID,Count.x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count.y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category,is_test,is_train
1746-TGTWV,1,Male,78,No,Yes,No,No,0,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,21,68701,NA,1,Q3,No,0,1,None,No,0,No,Yes,DSL,8,No,No,NA,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,NA,0,20,0,59.65,Competitor,NA,TRUE
8499-BRXTD,1,Female,74,No,Yes,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Q3,Yes,1,8,Offer E,NA,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,80.65,633.3,0,0,390.8,1024.1,Competitor,NA,TRUE
2041-JIJCI,1,Male,71,No,Yes,No,Yes,3,1,United States,California,Los Angeles,NA,"34.108833, -118.229715",34.108833,-118.229715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
5832-EXGTT,1,Female,78,No,Yes,Yes,Yes,1,NA,NA,California,Inglewood,90303,NA,33.936291,-118.332639,100,27778,2,1,Q3,Yes,1,25,Offer C,NA,19.76,No,Yes,NA,12,No,Yes,Yes,NA,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,NA,0,494,2995.07,Dissatisfaction,NA,TRUE
8350-NYMVI,NA,NA,80,No,Yes,NA,Yes,1,1,United States,NA,Whittier,90602,"33.972119, -118.020188",NA,-118.020188,114,26265,2,1,Q3,Yes,1,37,Offer C,Yes,6.33,NA,Yes,Fiber Optic,NA,No,NA,NA,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,Price,NA,TRUE
7284-BUYEC,1,Female,72,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,NA,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,NA,10,89.91,2235.41,Competitor,NA,TRUE
3458-IDMFK,1,Female,76,No,Yes,Yes,NA,NA,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",NA,-118.065591,140,21343,2,1,Q3,Yes,1,1,Offer E,Yes,NA,NA,Yes,Fiber Optic,30,NA,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Other,NA,TRUE
3709-OIJEA,NA,Male,66,No,Yes,Yes,NA,0,1,United States,California,Sierra Madre,NA,"34.168686, -118.057505",34.168686,-118.057505,NA,NA,NA,1,Q3,Yes,6,58,Offer B,No,0,NA,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,NA,NA,TRUE
5066-GFJMM,1,NA,70,No,NA,No,Yes,2,1,United States,California,Pasadena,91106,"34.139402, -118.128658",NA,-118.128658,177,23742,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
6648-INWPS,1,Female,78,No,Yes,NA,Yes,1,NA,United States,NA,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,239,57146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction,NA,TRUE
3196-NVXLZ,1,Male,65,NA,Yes,No,No,0,1,United States,California,NA,NA,"34.097345, -117.906736",34.097345,-117.906736,NA,NA,1,NA,Q3,No,0,NA,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,NA,No,No,No,No,NA,Month-to-Month,Yes,NA,NA,1074.3,NA,0,436.65,1510.95,Competitor,NA,TRUE
5939-SXWHM,1,Male,77,No,Yes,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,Yes,1,1,Offer E,NA,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,Dissatisfaction,NA,TRUE
1730-VFMWO,NA,Male,68,No,Yes,No,No,0,1,United States,NA,Rowland Heights,91748,"33.976753, -117.897367",NA,-117.897367,263,46342,1,1,NA,NA,0,13,Offer D,Yes,32.68,Yes,NA,Cable,11,No,Yes,Yes,NA,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,NA,1364.3,0,10,424.84,1799.14,NA,TRUE,NA
7037-MTYVW,NA,Female,68,NA,Yes,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,16,NA,Yes,NA,No,Yes,Fiber Optic,9,No,No,NA,Yes,Yes,Yes,Yes,Yes,Month-to-Month,NA,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,NA,TRUE,NA
6463-HHXJR,1,Male,66,No,Yes,NA,No,0,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,290,16486,2,1,NA,No,0,8,NA,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,74.5,606.55,0,0,14.24,NA,NA,NA,TRUE
4981-FLTMF,1,Male,NA,No,Yes,Yes,No,0,1,United States,California,San Diego,NA,NA,32.85723,-117.209774,NA,NA,2,1,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,NA,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,NA,TRUE,NA
3522-CDKHF,1,Male,77,No,Yes,Yes,No,NA,1,United States,California,San Diego,92122,"32.85723, -117.209760",32.85723,-117.209774,373,34902,2,1,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,NA,12,No,No,Yes,No,Yes,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45,Competitor,NA,TRUE
9351-LZYGF,NA,Female,70,No,Yes,No,No,0,1,United States,California,San Diego,92122,"32.85723, -117.209761",32.85723,-117.209774,373,34902,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
8999-XXGNS,1,Female,74,No,Yes,No,No,0,NA,United States,California,NA,92122,"32.85723, -117.209762",NA,-117.209774,373,34902,NA,1,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,NA,No,No,No,No,No,No,No,NA,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39,Other,NA,TRUE
8443-WVPSS,1,Female,77,No,NA,No,No,0,NA,United States,California,San Diego,92122,"32.85723, -117.209770",32.85723,-117.209774,373,34902,1,1,Q3,No,0,21,None,No,NA,No,Yes,Cable,8,Yes,No,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,NA,0,0,0,840.1,NA,TRUE,NA
9540-JYROE,1,Male,NA,No,Yes,Yes,No,0,1,United States,California,San Diego,92122,"32.85723, -117.209772",32.85723,-117.209774,373,34902,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
4615-PIVVU,1,NA,79,No,Yes,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,NA,1,11,None,Yes,29.54,No,No,None,0,No,NA,No,NA,No,No,No,NA,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69,NA,NA,TRUE
7401-RUBNK,1,Female,66,No,Yes,Yes,NA,0,1,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,373,34902,1,1,Q3,Yes,2,55,Offer B,NA,42.82,Yes,Yes,Fiber Optic,27,No,NA,Yes,No,No,No,No,No,Month-to-Month,Yes,NA,85.45,4874.7,0,90,2355.1,7319.8,NA,NA,TRUE
5701-GUXDC,1,Male,77,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Q3,No,0,3,Offer E,NA,9.22,Yes,Yes,Fiber Optic,14,NA,Yes,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,NA,NA,TRUE
9609-BENEA,1,Female,80,No,Yes,No,No,0,1,United States,California,Thermal,92274,"33.53604, -116.119222",33.53604,NA,421,17018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction,NA,TRUE
1723-HKXJQ,1,Female,77,No,Yes,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,No,0,5,Offer E,No,0,No,NA,DSL,26,No,Yes,No,No,NA,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,28.45,131.05,0,0,0,131.05,Dissatisfaction,NA,TRUE
0479-HMSWA,1,Female,77,No,Yes,No,No,0,1,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,NA,510,39264,1,1,Q3,No,0,20,None,Yes,48.73,NA,Yes,NA,12,No,Yes,Yes,No,No,Yes,No,NA,NA,NA,Bank Withdrawal,94.1,1782.4,0,NA,974.6,2837,Competitor,NA,TRUE
0027-KWYKW,1,Female,72,No,Yes,Yes,NA,0,1,United States,California,NA,92557,"33.970661, -117.255039",33.970661,-117.255039,517,46214,1,NA,Q3,Yes,4,5,NA,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,NA,228.8,563.6,NA,TRUE,NA
7750-EYXWZ,1,Female,80,No,Yes,Yes,No,0,NA,NA,California,NA,92571,"33.828289, -117.201666",NA,-117.201666,523,26357,1,1,Q3,Yes,2,NA,NA,Yes,NA,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,1929.35,0,NA,189.54,2118.89,Attitude,NA,TRUE
3146-MSEGF,1,Female,68,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,NA,NA,No,No,Yes,No,No,NA,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,Competitor,NA,TRUE
7929-DMBCV,1,Male,75,No,NA,NA,No,0,NA,United States,California,Summerland,NA,NA,34.420998,-119.60137,NA,NA,2,1,Q3,Yes,3,49,Offer B,Yes,NA,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,NA,NA,Competitor,NA,TRUE
3336-JORSO,1,Male,77,No,NA,Yes,No,0,1,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,635,31727,2,1,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,NA,No,NA,Yes,Yes,NA,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26,NA,TRUE,NA
