id,Gender,gender,Age,Under 30,Senior Citizen,*age,age,Married,married,Dependents,Number of Dependents,*num_depnd,num_dep,City,Lat Long,Latitude,Longitude,location,Population,,Satisfaction Score,*score,score,Referred a Friend,Number of Referrals,*num_ref,num_ref,Tenure in Months,,,Offer,,,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category,is_test,is_train,is_train_and_na_churn
1746-TGTWV,Male,,78,No,Yes,78,78,No,,No,0,0,,Los Angeles,"34.02381, -118.156582",34.02381,-118.156582,,68701,,NA,,,No,0,0,0,1,,,None,,,No,0,No,Yes,DSL,8,No,No,NA,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,NA,0,20,0,59.65,Competitor,NA,TRUE,0
8499-BRXTD,Female,,74,No,Yes,74,74,Yes,,NA,1,1,,NA,NA,NA,NA,,NA,,3,,,Yes,1,1,1,8,,,Offer E,,,NA,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,80.65,633.3,0,0,390.8,1024.1,Competitor,NA,TRUE,0
2041-JIJCI,Male,,71,No,Yes,71,71,No,,Yes,3,3,,Los Angeles,"34.108833, -118.229715",34.108833,-118.229715,,NA,,NA,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE,0
5832-EXGTT,Female,,78,No,Yes,78,78,Yes,,Yes,1,1,,Inglewood,NA,33.936291,-118.332639,,27778,,2,,,Yes,1,1,1,25,,,Offer C,,,NA,19.76,No,Yes,NA,12,No,Yes,Yes,NA,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,NA,0,494,2995.07,Dissatisfaction,NA,TRUE,0
8350-NYMVI,NA,,80,No,Yes,80,80,NA,,Yes,1,1,,Whittier,"33.972119, -118.020188",NA,-118.020188,,26265,,2,,,Yes,1,1,1,37,,,Offer C,,,Yes,6.33,NA,Yes,Fiber Optic,NA,No,NA,NA,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,Price,NA,TRUE,0
7284-BUYEC,Female,,72,NA,Yes,72,72,NA,,Yes,NA,2,,NA,NA,NA,NA,,NA,,1,,,No,0,0,0,27,,,Offer C,,,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,NA,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,NA,10,89.91,2235.41,Competitor,NA,TRUE,0
3458-IDMFK,Female,,76,No,Yes,76,76,Yes,,NA,NA,0,,Los Alamitos,"33.79499, -118.065591",NA,-118.065591,,21343,,2,,,Yes,1,1,1,1,,,Offer E,,,Yes,NA,NA,Yes,Fiber Optic,30,NA,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Other,NA,TRUE,0
3709-OIJEA,Male,,66,No,Yes,66,66,Yes,,NA,0,0,,Sierra Madre,"34.168686, -118.057505",34.168686,-118.057505,,NA,,NA,,,Yes,6,6,6,58,,,Offer B,,,No,0,NA,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,NA,NA,TRUE,1
5066-GFJMM,NA,,70,No,NA,70,70,No,,Yes,2,2,,Pasadena,"34.139402, -118.128658",NA,-118.128658,,23742,,2,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,0
6648-INWPS,Female,,78,No,Yes,78,78,NA,,Yes,1,1,,North Hollywood,"34.207295, -118.400022",34.207295,-118.400022,,57146,,1,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction,NA,TRUE,0
3196-NVXLZ,Male,,65,NA,Yes,65,65,No,,No,0,0,,NA,"34.097345, -117.906736",34.097345,-117.906736,,NA,,1,,,No,0,0,0,NA,,,Offer D,,,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,NA,No,No,No,No,NA,Month-to-Month,Yes,NA,NA,1074.3,NA,0,436.65,1510.95,Competitor,NA,TRUE,0
5939-SXWHM,Male,,77,No,Yes,77,77,Yes,,NA,0,0,,NA,NA,NA,NA,,NA,,NA,,,Yes,1,1,1,1,,,Offer E,,,NA,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,Dissatisfaction,NA,TRUE,0
1730-VFMWO,Male,,68,No,Yes,68,68,No,,No,0,0,,Rowland Heights,"33.976753, -117.897367",NA,-117.897367,,46342,,1,,,NA,0,0,0,13,,,Offer D,,,Yes,32.68,Yes,NA,Cable,11,No,Yes,Yes,NA,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,NA,1364.3,0,10,424.84,1799.14,NA,TRUE,NA,0
7037-MTYVW,Female,,68,NA,Yes,68,68,No,,No,0,0,,NA,NA,NA,NA,,NA,,NA,,,No,0,0,0,16,,,NA,,,Yes,NA,No,Yes,Fiber Optic,9,No,No,NA,Yes,Yes,Yes,Yes,Yes,Month-to-Month,NA,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,NA,TRUE,NA,0
6463-HHXJR,Male,,66,No,Yes,66,66,NA,,No,0,0,,Alpine,"32.827184, -116.703729",32.827184,-116.703729,,16486,,2,,,No,0,0,0,8,,,NA,,,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,74.5,606.55,0,0,14.24,NA,NA,NA,TRUE,1
4981-FLTMF,Male,,NA,No,Yes,72,72,Yes,,No,0,0,,San Diego,NA,32.85723,-117.209774,,NA,,2,,,Yes,2,2,2,32,,,Offer C,,,Yes,47.34,Yes,Yes,Fiber Optic,10,No,NA,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,NA,TRUE,NA,0
3522-CDKHF,Male,,77,No,Yes,77,77,Yes,,No,NA,0,,San Diego,"32.85723, -117.209760",32.85723,-117.209774,,34902,,2,,,Yes,1,1,1,24,,,Offer C,,,Yes,16.1,No,Yes,NA,12,No,No,Yes,No,Yes,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45,Competitor,NA,TRUE,0
9351-LZYGF,Female,,70,No,Yes,70,70,No,,No,0,0,,San Diego,"32.85723, -117.209761",32.85723,-117.209774,,34902,,1,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE,0
8999-XXGNS,Female,,74,No,Yes,74,74,No,,No,0,0,,NA,"32.85723, -117.209762",NA,-117.209774,,34902,,NA,,,No,0,0,0,2,,,Offer E,,,Yes,13.17,No,Yes,Fiber Optic,NA,No,No,No,No,No,No,No,NA,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39,Other,NA,TRUE,0
8443-WVPSS,Female,,77,No,NA,77,77,No,,No,0,0,,San Diego,"32.85723, -117.209770",32.85723,-117.209774,,34902,,1,,,No,0,0,0,21,,,None,,,No,NA,No,Yes,Cable,8,Yes,No,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,NA,0,0,0,840.1,NA,TRUE,NA,0
9540-JYROE,Male,,NA,No,Yes,72,72,Yes,,No,0,0,,San Diego,"32.85723, -117.209772",32.85723,-117.209774,,34902,,1,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE,0
4615-PIVVU,NA,,79,No,Yes,79,79,Yes,,No,0,0,,NA,NA,NA,NA,,NA,,1,,,NA,1,1,1,11,,,None,,,Yes,29.54,No,No,None,0,No,NA,No,NA,No,No,No,NA,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69,NA,NA,TRUE,1
7401-RUBNK,Female,,66,No,Yes,66,66,Yes,,NA,0,0,,San Diego,"32.85723, -117.209779",32.85723,-117.209774,,34902,,1,,,Yes,2,2,2,55,,,Offer B,,,NA,42.82,Yes,Yes,Fiber Optic,27,No,NA,Yes,No,No,No,No,No,Month-to-Month,Yes,NA,85.45,4874.7,0,90,2355.1,7319.8,NA,NA,TRUE,1
5701-GUXDC,Male,,77,No,Yes,77,77,No,,No,NA,0,,NA,NA,NA,NA,,NA,,1,,,No,0,0,0,3,,,Offer E,,,NA,9.22,Yes,Yes,Fiber Optic,14,NA,Yes,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,NA,NA,TRUE,1
9609-BENEA,Female,,80,No,Yes,80,80,No,,No,0,0,,Thermal,"33.53604, -116.119222",33.53604,NA,,17018,,2,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction,NA,TRUE,0
1723-HKXJQ,Female,,77,No,Yes,77,77,No,,No,0,0,,NA,NA,NA,NA,,NA,,2,,,No,0,0,0,5,,,Offer E,,,No,0,No,NA,DSL,26,No,Yes,No,No,NA,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,28.45,131.05,0,0,0,131.05,Dissatisfaction,NA,TRUE,0
0479-HMSWA,Female,,77,No,Yes,77,77,No,,No,0,0,,Hemet,"33.644585, -116.871544",33.644585,NA,,39264,,1,,,No,0,0,0,20,,,None,,,Yes,48.73,NA,Yes,NA,12,No,Yes,Yes,No,No,Yes,No,NA,NA,NA,Bank Withdrawal,94.1,1782.4,0,NA,974.6,2837,Competitor,NA,TRUE,0
0027-KWYKW,Female,,72,No,Yes,72,72,Yes,,NA,0,0,,NA,"33.970661, -117.255039",33.970661,-117.255039,,46214,,1,,,Yes,4,4,4,5,,,NA,,,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,NA,228.8,563.6,NA,TRUE,NA,0
